episode,reward,steps,td_error,epsilon,success,invalid_actions,wrapper_penalty,wrapper_bonus,blocked_actions,transformed_actions,risky_action_ratio,useful_actions_ratio
236,-1042.5,200,2.2343356079325005,0.8886698277259029,0,55,347.5,0.0,7,7,0.31,0.965
237,-867.0,200,2.4968607970739445,0.88822549281204,0,42,289.0,0.0,13,13,0.32,0.935
238,-975.0,200,2.38300137663632,0.887781380065634,0,50,325.0,0.0,6,6,0.28,0.97
239,-1056.0,200,3.399013340269505,0.8873374893756012,0,56,352.0,0.0,7,7,0.35,0.965
240,-988.5,200,2.3896016145646395,0.8868938206309135,0,51,329.5,0.0,4,4,0.275,0.98
241,-1029.0,200,2.611455941128246,0.8864503737205981,0,54,343.0,0.0,10,10,0.33,0.95
242,-840.0,200,2.764103231678289,0.8860071485337379,0,40,280.0,0.0,8,8,0.26,0.96
243,-1042.5,200,2.1853090783778213,0.885564144959471,0,55,347.5,0.0,8,8,0.315,0.96
244,-1056.0,200,3.450544514259049,0.8851213628869913,0,56,352.0,0.0,12,12,0.345,0.94
245,-907.5,200,2.5243691977260814,0.8846788022055478,0,45,302.5,0.0,4,4,0.27,0.98
246,-775.5,178,2.985038265751976,0.8842364628044451,1,40,268.5,10.0,4,4,0.2809,0.9775
247,-330.0,79,2.7677740051374253,0.883794344573043,1,18,120.0,10.0,3,3,0.3165,0.962
248,-1042.5,200,2.29577820678559,0.8833524474007565,0,55,347.5,0.0,3,3,0.29,0.985
249,-1123.5,200,2.7797492052528217,0.8829107711770562,0,61,374.5,0.0,13,13,0.37,0.935
250,21.5,10,3.7773893680795836,0.8824693157914677,1,0,4.5,15.0,0,0,0.2,1.0
251,-1029.0,200,2.74493600624457,0.882028081133572,0,54,343.0,0.0,9,9,0.35,0.955
252,-636.0,139,3.178176998775329,0.8815870670930053,1,34,222.0,10.0,8,8,0.3309,0.9424
253,-1096.5,200,2.7927028852305202,0.8811462735594588,0,59,365.5,0.0,8,8,0.34,0.96
254,-975.0,200,2.422263605347731,0.8807057004226791,0,50,325.0,0.0,10,10,0.3,0.95
255,-921.0,200,2.3938917092204215,0.8802653475724679,0,46,307.0,0.0,3,3,0.29,0.985
256,-1015.5,200,2.531181729790598,0.8798252148986817,0,53,338.5,0.0,8,8,0.305,0.96
257,-414.0,99,2.9325450916623645,0.8793853022912325,1,22,148.0,10.0,4,4,0.303,0.9596
